Change number	Description	Valid From	Authorization group	Reason for Change	Change Status	Created on	Created by
559	AA Twin VP adding CDW 9ct data          	4/19/2007	    	                                        	2	4/19/2007	BLANDIS     
560	AA Twin VP adding CDW 9ct data PG       	4/19/2007	    	                                        	2	4/19/2007	BLANDIS     
561	Changing Labels in Recipe 2139          	4/19/2007	    	                                        	2	4/19/2007	JGIBSON     
562	Need to update Rcps 5324+5303           	4/19/2007	    	                                        	2	4/19/2007	AKACZAR     
563	The 3 specs are back in Draft status and	4/19/2007	    	                                        	1	4/19/2007	AKACZAR     
564	Remove sample from recipe               	4/23/2007	    	                                        	2	4/23/2007	LFULLBRI    
565	Remove sample from recipe               	4/23/2007	    	                                        	2	4/23/2007	LFULLBRI    
566	Updated LC2 Formula for Project Floss   	12/1/2007	    	                                        	2	4/23/2007	AKOTECKI    
567	Edison Data Clean Up; CON Unit Recipes  	4/23/2007	    	                                        	2	4/23/2007	JSCOTT      
568	Edison Data Clean Up; CUS Unit Recipes  	4/23/2007	    	                                        	2	4/23/2007	JSCOTT      
569	Correct MTW recipe to inc. other flavors	4/23/2007	    	                                        	1	4/23/2007	TPOORE      
570	Correct MTW recipe to inc. other flavors	4/23/2007	    	                                        	2	4/23/2007	TPOORE      
571	CS CCU128oz U135 80217.026              	4/23/2007	    	                                        	2	4/23/2007	APROWELL    
572	"update sample freq for SW S&S, DpDsh    "	4/24/2007	    	                                        	2	4/24/2007	JRUSNAK     
573	Correct carton version number           	4/24/2007	    	                                        	1	4/24/2007	SCATHCAR    
574	Update bottle colorant requirement      	4/24/2007	    	                                        	2	4/24/2007	TPOORE      
575	Cancel Request. Duplicate of 571        	4/24/2007	    	                                        	1	4/24/2007	APROWELL    
576	Update recipe with new bottle           	4/24/2007	    	                                        	2	4/24/2007	BABERNAT    
577	Update Consumer Unit w/new labels       	4/24/2007	    	                                        	2	4/24/2007	PCLINE      
578	Update AltRcp w/new MTWare #            	4/24/2007	    	                                        	2	4/24/2007	PCLINE      
579	Update Consumer Unit w/new labels       	4/24/2007	    	                                        	2	4/24/2007	PCLINE      
580	Update AltRcp w/new MTWare #            	4/24/2007	    	                                        	2	4/24/2007	PCLINE      
581	Update Consumer Unit w/new labels       	4/24/2007	    	                                        	2	4/24/2007	PCLINE      
582	Update AltRcp w/new MTWare #            	4/24/2007	    	                                        	2	4/24/2007	PCLINE      
583	Update Consumer Unit w/new labels       	4/24/2007	    	                                        	2	4/24/2007	PCLINE      
584	Update AltRcp w/new MTWare #            	4/24/2007	    	                                        	2	4/24/2007	PCLINE      
585	Added missing property tree info to spec	4/25/2007	    	                                        	2	4/25/2007	RHOEFING    
586	Add section weight targets & tolerances 	4/25/2007	    	                                        	2	4/25/2007	TWILLIA2    
587	Addition of data and drawings           	4/26/2007	    	                                        	2	4/26/2007	RWOOD       
588	Migration Error Correction              	4/26/2007	    	                                        	1	4/26/2007	CSNORECK    
589	Migration Error Correction-Corrected Upp	4/26/2007	    	                                        	2	4/26/2007	CSNORECK    
590	Migration Error Correction              	4/26/2007	    	                                        	2	4/26/2007	CSNORECK    
591	Migration Error Correction-Corrected low	4/26/2007	    	                                        	2	4/26/2007	CSNORECK    
592	Change pattern from rotate to Column    	4/26/2007	    	                                        	2	4/26/2007	RWOOD       
593	Add new case and CDW sample             	4/26/2007	    	                                        	2	4/26/2007	LFULLBRI    
594	Correct the qty.error in Recipe 5299    	4/26/2007	    	                                        	2	4/26/2007	SHENGLER    
595	add new labels and remove alt closure   	4/26/2007	    	                                        	2	4/26/2007	LFULLBRI    
596	Switching out Mat numbers for CU        	4/26/2007	    	                                        	2	4/26/2007	BLANDIS     
597	Migration Error Correction-Corrected Gen	4/26/2007	    	                                        	2	4/26/2007	CSNORECK    
598	change mat master to laundry from HC    	4/26/2007	    	                                        	2	4/26/2007	RHOEFING    
599	Update CU's in Recipes                  	4/26/2007	    	                                        	2	4/26/2007	MKWIECIE    
600	Correct initial data input              	4/27/2007	    	                                        	1	4/27/2007	SCATHCAR    
601	"Material changes to Recipes 1554, 1514  "	4/27/2007	    	                                        	1	4/27/2007	JGIBSON     
602	Material changes                        	4/27/2007	    	                                        	1	4/27/2007	JGIBSON     
603	Material Changes                        	4/27/2007	    	                                        	1	4/27/2007	JGIBSON     
604	20070427	4/27/2007	    	                                        	1	4/27/2007	RTERRY      
605	Recipe changes due to new artwork versio	4/27/2007	    	                                        	2	4/27/2007	RTERRY      
606	Actual modifications: Updated format on 	4/30/2007	    	                                        	2	4/30/2007	JRUSNAK     
607	Recipe Error                            	4/30/2007	    	                                        	2	4/30/2007	DSCHARPI    
608	Replace FG 11457 w/Disinfect FG 11760   	4/30/2007	    	                                        	2	4/30/2007	LTELEHAL    
609	Replace FG 11457 w/disinfect FG 11760   	4/30/2007	    	                                        	2	4/30/2007	LTELEHAL    
610	Material changes                        	4/30/2007	    	                                        	1	4/30/2007	JGIBSON     
611	Actual changes made with this ECR/ECO:  	4/30/2007	    	                                        	2	4/30/2007	SBINGER     
612	Material changes                        	4/30/2007	    	                                        	1	4/30/2007	JGIBSON     
613	Material Changes                        	4/30/2007	    	                                        	2	4/30/2007	JGIBSON     
614	Material changes                        	4/30/2007	    	                                        	2	4/30/2007	JGIBSON     
615	Exchange DIR                            	4/30/2007	    	                                        	2	4/30/2007	BLANDIS     
616	Material Group Change                   	4/30/2007	    	                                        	2	4/30/2007	MKWIECIE    
617	Adding alternate label (new structure)  	4/30/2007	    	                                        	1	4/30/2007	TWILLIA2    
618	Addition of test method links - Added Pr	5/1/2007	    	                                        	2	5/1/2007	RMILLER3    
619	20070430	4/30/2007	    	                                        	1	5/1/2007	JGIBSON     
620	Add Material Master Number to recipe    	5/1/2007	    	                                        	2	5/1/2007	CSTETTLE    
621	Update Formula for Torino               	5/4/2007	    	                                        	2	5/1/2007	SCAVADEA    
622	Revising BUOM from 1 to 56              	5/1/2007	    	                                        	2	5/1/2007	BLANDIS     
623	Project name: Honda - Use of clay w/o ca	5/1/2007	    	                                        	1	5/1/2007	JNGUYEN     
624	Changing material in Recipes            	5/2/2007	    	                                        	2	5/2/2007	RWOOD       
625	Correct initial data input              	5/2/2007	    	                                        	2	5/2/2007	SCATHCAR    
626	Correct initial data input              	5/2/2007	    	                                        	2	5/2/2007	SCATHCAR    
627	Correct initial data input              	5/2/2007	    	                                        	2	5/2/2007	SCATHCAR    
628	Correct initial data input              	5/2/2007	    	                                        	2	5/2/2007	SCATHCAR    
629	Correct initial data input              	5/2/2007	    	                                        	2	5/2/2007	SCATHCAR    
630	Label structure change                  	5/2/2007	    	                                        	1	5/2/2007	TWILLIA2    
631	Add mold on micro limit                 	5/3/2007	    	                                        	2	5/3/2007	SSCHLAKE    
632	Change cap spec on rcp 5176             	5/3/2007	    	                                        	2	5/3/2007	RCARINO     
633	Changing BUOM for 112190                	5/3/2007	    	                                        	2	5/3/2007	BLANDIS     
634	test                                    	5/3/2007	    	                                        	1	5/3/2007	CALLEN1     
635	Change label structure                  	5/3/2007	    	                                        	2	5/3/2007	TWILLIA2    
636	Change label structure                  	5/3/2007	    	                                        	2	5/3/2007	TWILLIA2    
637	Change label structure                  	5/3/2007	    	                                        	2	5/3/2007	TWILLIA2    
638	Change label structure                  	5/3/2007	    	                                        	2	5/3/2007	TWILLIA2    
639	Change label structure                  	5/3/2007	    	                                        	2	5/3/2007	TWILLIA2    
640	Change label structure                  	5/3/2007	    	                                        	2	5/3/2007	TWILLIA2    
641	Change label structure                  	5/3/2007	    	                                        	2	5/3/2007	TWILLIA2    
642	"Changed label structure, putting in as a"	5/3/2007	    	                                        	2	5/3/2007	TWILLIA2    
643	Rerouting CU Specs to set up ZUC line   	5/3/2007	    	                                        	2	5/3/2007	JSCOTT      
644	CDW ZVPK to NORM in PDM                 	5/4/2007	    	                                        	2	5/4/2007	KKLOTTER    
645	CDW ZVPK to NORM in PDM #2              	5/4/2007	    	                                        	2	5/4/2007	KKLOTTER    
646	"Add assm display dims,38ct update assm# "	5/4/2007	    	                                        	2	5/4/2007	MKWIECIE    
647	fix color defect rate- MR / S&S lids    	5/7/2007	    	                                        	2	5/7/2007	JRUSNAK     
648	CU recipes have wrong cap               	5/7/2007	    	                                        	1	5/7/2007	TPOORE      
649	FP testing for Class C attributes       	5/7/2007	    	                                        	1	5/7/2007	LSOPKO      
650	Trans to KB 4oz Bulk w/MTW              	5/21/2007	    	                                        	1	5/7/2007	YJACKSON    
651	CU recipe has wrong cap                 	5/7/2007	    	                                        	2	5/7/2007	TPOORE      
652	Update recipe with correct label        	5/8/2007	    	                                        	1	5/8/2007	BABERNAT    
653	Test only                               	5/8/2007	    	                                        	1	5/8/2007	CALLEN1     
654	Added 45 lbs to Gen Info in prop tree   	5/8/2007	    	                                        	2	5/8/2007	KSPECK      
655	Update label graphic SAP 7947 TlxFS 32fo	5/9/2007	    	                                        	2	5/9/2007	LTELEHAL    
656	Add CON1 as alternate to rcp 5415       	5/10/2007	    	                                        	2	5/10/2007	RCARINO     
657	Label graphic change to SAP 6801 Tlx64oz	5/10/2007	    	                                        	2	5/10/2007	LTELEHAL    
658	Claims change for Project Alchemy       	5/10/2007	    	                                        	2	5/10/2007	SCATHCAR    
659	Claims change for Project Alchemy       	5/10/2007	    	                                        	2	5/10/2007	SCATHCAR    
660	Claims change for Project Alchemy       	5/10/2007	    	                                        	2	5/10/2007	SCATHCAR    
661	migration errors                        	5/10/2007	    	                                        	2	5/10/2007	IFUSMAN     
662	Add regulatory info to 2 specs          	5/10/2007	    	                                        	2	5/10/2007	GHELLMAN    
663	Change UOM in recipe 4768 mat.62546     	5/10/2007	    	                                        	2	5/10/2007	DFAILLE     
664	Add Factsheet Photo                     	5/11/2007	    	                                        	2	5/11/2007	MKWIECIE    
665	Graphics Changes                        	5/11/2007	    	                                        	1	5/11/2007	SHENGLER    
666	Actual changes made with this ECR/ECO:  	5/14/2007	    	                                        	2	5/14/2007	SBINGER     
667	Update graphics                         	5/14/2007	    	                                        	2	5/14/2007	SHENGLER    
668	20070514	5/14/2007	    	                                        	2	5/14/2007	BCARTWRI    
669	formula maintenance                     	5/14/2007	    	                                        	2	5/14/2007	DGALL       
670	Revised dimensions                      	5/14/2007	    	                                        	2	5/14/2007	JSCOTT      
671	Case and pallet height increase         	5/14/2007	    	                                        	2	5/14/2007	JSCOTT      
672	20070515	5/15/2007	    	                                        	1	5/15/2007	OLOPEZ      
673	20070515	5/15/2007	    	                                        	2	5/15/2007	OLOPEZ      
674	Updating supplier & Color               	5/15/2007	    	                                        	2	5/15/2007	DKOLARIC    
675	"Small change to cs dimensions,new spec  "	5/15/2007	    	                                        	2	5/15/2007	LPIERCE     
676	"Small change to cs dimensions, new spec."	5/15/2007	    	                                        	2	5/15/2007	LPIERCE     
677	Replace sign component with corner wraps	5/15/2007	    	                                        	2	5/15/2007	MKWIECIE    
678	Remove ctn 011803.100 from recipe 5509  	5/16/2007	    	                                        	2	5/16/2007	RTERRY      
679	"Small change to cs dimensions, new spec."	5/16/2007	    	                                        	2	5/16/2007	LPIERCE     
680	Change tolerance to deckboard width     	5/16/2007	    	                                        	1	5/16/2007	FCULANG     
681	"Small change to cs dimension, new spec. "	5/16/2007	    	                                        	2	5/16/2007	LPIERCE     
682	"Small change to cs dimension, new spec. "	5/16/2007	    	                                        	2	5/16/2007	LPIERCE     
683	update pallet pattern DIR               	5/16/2007	    	                                        	2	5/16/2007	RPARVIS     
684	"Small change to cs dimension, new spec. "	5/16/2007	    	                                        	2	5/16/2007	LPIERCE     
685	"Small change to cs dimension, new spec. "	5/16/2007	    	                                        	2	5/16/2007	LPIERCE     
686	Recipe 5312 and 5313-change description 	5/17/2007	    	                                        	2	5/17/2007	NBECKSTE    
687	Update bottle weight & colorant         	5/17/2007	    	                                        	2	5/17/2007	BABERNAT    
688	Dimensions in prty tree in error        	5/17/2007	    	                                        	2	5/17/2007	JBECKST1    
689	5/18/07:  Also updated AltRcp w/new Tray	5/17/2007	    	                                        	2	5/17/2007	PCLINE      
690	Tray Redesign                           	5/17/2007	    	                                        	2	5/17/2007	MKWIECIE    
691	Update Recipes w/new Tray:SoftConversion	5/17/2007	    	                                        	1	5/17/2007	PCLINE      
692	20070518	5/18/2007	    	                                        	2	5/18/2007	BCARTWRI    
693	update supplier name on Asian Zip sand  	5/18/2007	    	                                        	2	5/18/2007	JRUSNAK     
694	correct migration data entry errors     	5/18/2007	    	                                        	2	5/18/2007	WDURLING    
695	20070518	5/18/2007	    	                                        	2	5/18/2007	BCARTWRI    
696	20070518	5/18/2007	    	                                        	2	5/18/2007	BCARTWRI    
697	20070518	5/18/2007	    	                                        	2	5/18/2007	BCARTWRI    
698	20070518	5/18/2007	    	                                        	2	5/18/2007	BCARTWRI    
699	20070518	5/18/2007	    	                                        	2	5/18/2007	BCARTWRI    
700	20070518	5/18/2007	    	                                        	2	5/18/2007	BCARTWRI    
701	20070518	5/18/2007	    	                                        	2	5/18/2007	BCARTWRI    
702	Update Recipes w/new Tray:SoftConversion	5/18/2007	    	                                        	2	5/18/2007	PCLINE      
703	Need to revise CTN OD width for CU      	5/18/2007	    	                                        	2	5/18/2007	BLANDIS     
704	LC's 128fo bottle w Plastic IML         	5/21/2007	    	                                        	2	5/21/2007	LFLORES     
705	Update CU or AltRecipe w/new labels     	5/21/2007	    	                                        	2	5/21/2007	PCLINE      
706	formula variance                        	5/21/2007	    	                                        	2	5/21/2007	DGALL       
707	Change dimensions spec 112712 & 108166  	5/22/2007	    	                                        	1	5/22/2007	DFAILLE     
708	New MTWare for Clx Clean Up             	5/22/2007	    	                                        	1	5/22/2007	CPRESTON    
709	New MTWare for CCU due to label change  	5/22/2007	    	                                        	2	5/22/2007	CPRESTON    
710	Change closure in recipe 2874           	5/22/2007	    	                                        	2	5/22/2007	DFAILLE     
711	reduce layers/pallet from 4 to 3        	5/22/2007	    	                                        	2	5/22/2007	RHOEFING    
712	layers/pallet reduced so need new cposts	5/22/2007	    	                                        	2	5/22/2007	RHOEFING    
713	Change dimensions spec 112712 & 108166  	5/23/2007	    	                                        	2	5/23/2007	DFAILLE     
714	Label Change                            	5/23/2007	    	                                        	2	5/23/2007	CPRESTON    
715	20070523	5/23/2007	    	                                        	1	5/23/2007	BCARTWRI    
716	20070523	5/23/2007	    	                                        	1	5/23/2007	BCARTWRI    
717	20070523	5/23/2007	    	                                        	1	5/23/2007	BCARTWRI    
718	20070523	5/23/2007	    	                                        	1	5/23/2007	BCARTWRI    
719	UCare label graphic change 30 oz.       	5/23/2007	    	                                        	2	5/23/2007	MSTEWART    
720	"Change of dye name, supplier, and amount"	12/2/2007	    	                                        	1	5/24/2007	BCURRIER    
721	Rpl FSMC 21# carton w/new graphics      	5/24/2007	    	                                        	2	5/24/2007	JLEE3       
722	Change DIRs for FSP fact sheet photos   	5/24/2007	    	                                        	1	5/24/2007	TPOORE      
723	Change CP's and quan for new height     	5/24/2007	    	                                        	2	5/24/2007	RCARINO     
724	Alternate Label                         	5/24/2007	    	                                        	2	5/24/2007	TWILLIA2    
725	"Change of dye name, supplier, and amount"	5/24/2007	    	                                        	1	5/24/2007	BCURRIER    
726	Update material master on consumer units	5/24/2007	    	                                        	2	5/24/2007	DFAILLE     
727	Change DIRs for FSP (fact sheet photos)u	5/24/2007	    	                                        	2	5/24/2007	TPOORE      
728	Update Customer Unit w/new partition    	5/24/2007	    	                                        	2	5/24/2007	PCLINE      
729	Update shelf life of dry sucralose      	5/24/2007	    	                                        	2	5/24/2007	CSTETTLE    
730	"Change of dye name, supplier, and amount"	12/2/2007	    	                                        	1	5/24/2007	BCURRIER    
731	"On material 019328.019, should be LB    "	5/24/2007	    	                                        	2	5/24/2007	RTERRY      
732	Add pallet dim. forspecs 108106-109452  	5/25/2007	    	                                        	2	5/25/2007	DFAILLE     
733	test                                    	5/25/2007	    	                                        	1	5/25/2007	CALLEN1     
734	ECR Description: Garden Surge Recipe dye	5/29/2007	    	                                        	2	5/29/2007	KSWEENE1    
735	Changing material on a recipe           	5/29/2007	    	                                        	1	5/29/2007	JBECKST1    
736	Addition of Free and Clear to DC2 Spec  	5/30/2007	    	                                        	2	5/30/2007	MCOOPER1    
737	"Add label material, adhesive, and rewind"	5/30/2007	    	                                        	2	5/30/2007	ATOMASEK    
738	"update label material, adhesive, rewind "	5/30/2007	    	                                        	2	5/30/2007	ATOMASEK    
739	Add CsUPC label for FSFr 14lb           	5/30/2007	    	                                        	2	5/30/2007	JLEE3       
740	Rpl Cs & add CsUPC label for FSS 21lb   	5/30/2007	    	                                        	2	5/30/2007	JLEE3       
741	Rpl Cs & add CsUPC label for FSSC 28lb  	5/30/2007	    	                                        	2	5/30/2007	JLEE3       
742	Rpl Cs & add CsUPC label for SAMC 20lb  	5/30/2007	    	                                        	2	5/30/2007	JLEE3       
743	Rpl Cs & add CsUPC label for FSMC 21lb  	5/30/2007	    	                                        	2	5/30/2007	JLEE3       
744	Rpl Cs & add CsUPC label for FSPDAC 25lb	5/30/2007	    	                                        	2	5/30/2007	JLEE3       
745	Rpl Cs & add CsUPC label for SAPC 25lb  	5/30/2007	    	                                        	2	5/30/2007	JLEE3       
746	New Low Streak Label                    	5/30/2007	    	                                        	2	5/30/2007	CPRESTON    
747	Change material on two recipes          	5/30/2007	    	                                        	2	5/30/2007	JBECKST1    
748	Migration Error Correction              	5/30/2007	    	                                        	2	5/30/2007	CSNORECK    
749	New Low Streak Label                    	5/30/2007	    	                                        	2	5/30/2007	CPRESTON    
750	"SW S&S, & Deep Lids - correct errors    "	5/30/2007	    	                                        	2	5/30/2007	JRUSNAK     
751	add formula to recipe 5619              	5/30/2007	    	                                        	2	5/30/2007	ATOMASEK    
752	"DUPLICATE ECO, CLOSING THIS ONE OUT AND "	5/30/2007	    	                                        	1	5/30/2007	WDURLING    
753	revise recipes as a result of film specs	5/30/2007	    	                                        	2	5/30/2007	WDURLING    
754	Correct food spec migration errors      	5/30/2007	    	                                        	2	5/30/2007	KKLOTTER    
755	Update Brita Faucet Mount Filter Drawing	5/30/2007	    	Drawing out of date                     	1	5/30/2007	CBULALA     
756	Consumer Unit Change                    	5/31/2007	    	                                        	1	5/31/2007	SHENGLER    
757	Change Label on CU in WIP 083008.005    	5/31/2007	    	                                        	1	5/31/2007	SHENGLER    
758	Need to populate Property tree          	5/31/2007	    	                                        	2	5/31/2007	BLANDIS     
759	change from P1 to P5 status             	5/31/2007	    	                                        	2	5/31/2007	ATOMASEK    
760	Add alternate label structure.  Was told	5/31/2007	    	                                        	2	5/31/2007	TWILLIA2    
761	Add assm display dims                   	5/31/2007	    	                                        	2	5/31/2007	MKWIECIE    
762	wrong data entered then appr'vd mistake 	6/1/2007	    	                                        	2	6/1/2007	RWOOD       
763	Update Recipes w/new Blz Case & MTWare #	6/1/2007	    	                                        	2	6/1/2007	PCLINE      
764	Add Units/BUoM value                    	6/1/2007	    	                                        	1	6/1/2007	MBENITZ     
765	Add CsUPC label for FSFr 21lb           	6/1/2007	    	                                        	2	6/1/2007	JLEE3       
766	Add CsUPC label for FSFr 21+4lb         	6/1/2007	    	                                        	2	6/1/2007	JLEE3       
767	Add Filler to 1/2 Pallet                	6/1/2007	    	                                        	2	6/1/2007	MKWIECIE    
768	AA TAWC Intermediate Spec change        	6/11/2007	    	                                        	2	6/1/2007	KSWEENE1    
769	Change spec 111047 & 109454             	6/4/2007	    	                                        	2	6/4/2007	DFAILLE     
770	Update of test methods.                 	6/4/2007	    	                                        	2	6/4/2007	RMILLER3    
771	Update Recipe# 5423 with new FERT       	6/4/2007	    	                                        	2	6/4/2007	MRODGERS    
772	Add tie sheets to recipes               	6/4/2007	    	                                        	2	6/4/2007	JHYUN       
773	Add case gross and net weights          	6/4/2007	    	                                        	2	6/4/2007	JHYUN       
774	Update usage on recipe 5536             	6/5/2007	    	                                        	2	6/5/2007	DFAILLE     
775	Add note to CCU Spec (Initial change des	6/5/2007	    	                                        	2	6/5/2007	KSWEENE1    
776	Case Change                             	6/5/2007	    	                                        	1	6/5/2007	YSANCHE1    
777	Update usage on recipe 3570             	6/5/2007	    	                                        	2	6/5/2007	DFAILLE     
778	Add pallet information                  	6/5/2007	    	                                        	2	6/5/2007	ATOMASEK    
779	20070605	6/5/2007	    	                                        	2	6/5/2007	BCARTWRI    
780	20070605	6/5/2007	    	                                        	2	6/5/2007	BCARTWRI    
781	20070605	6/5/2007	    	                                        	2	6/5/2007	BCARTWRI    
782	20070605	6/5/2007	    	                                        	2	6/5/2007	BCARTWRI    
783	update cartons rcps# 4423+4422          	6/5/2007	    	                                        	2	6/5/2007	AKACZAR     
784	Change closure in recipe 4784           	6/6/2007	    	                                        	2	6/6/2007	DFAILLE     
785	Change ZCLX_OSTD 26802.007-2 to26802.004	6/6/2007	    	                                        	1	6/6/2007	JNGUYEN     
786	New Low Streak Label                    	6/6/2007	    	                                        	2	6/6/2007	CPRESTON    
787	Change Ass. Spec to match General Rec.  	6/6/2007	    	                                        	1	6/6/2007	LPIERCE     
788	Update spec 109452                      	6/7/2007	    	                                        	2	6/7/2007	DFAILLE     
789	Correct RM Incoming Inspection Node     	6/7/2007	    	                                        	2	6/7/2007	KKLOTTER    
790	Need to correct Layers per Truck        	6/7/2007	    	                                        	2	6/7/2007	BLANDIS     
791	Correct max stack height - truck/whse   	6/8/2007	    	                                        	2	6/8/2007	LFULLBRI    
792	initiate 11927 to P5 status             	6/8/2007	    	                                        	2	6/8/2007	ATOMASEK    
793	Revise labels                           	6/8/2007	    	                                        	2	6/8/2007	CPRESTON    
794	Revise labels                           	6/8/2007	    	                                        	2	6/8/2007	CPRESTON    
795	Revise labels                           	6/8/2007	    	                                        	1	6/8/2007	CPRESTON    
796	New Carton size                         	6/8/2007	    	                                        	2	6/8/2007	BLANDIS     
797	Need to correct counts in Property tree 	6/11/2007	    	                                        	2	6/11/2007	BLANDIS     
798	update spec                             	6/11/2007	    	                                        	2	6/11/2007	ATOMASEK    
799	update spec                             	6/11/2007	    	                                        	2	6/11/2007	ATOMASEK    
800	Replace Non UPC lable w/UPC lable       	6/11/2007	    	                                        	1	6/11/2007	SHENGLER    
801	change CU and title to 409              	6/11/2007	    	                                        	2	6/11/2007	RHOEFING    
802	New Label CS409GSC32oz 62469000.004     	6/11/2007	    	                                        	2	6/11/2007	APROWELL    
803	Update gen.item cat.group               	6/12/2007	    	                                        	2	6/12/2007	DFAILLE     
804	Update gen.item cat.group               	6/12/2007	    	                                        	2	6/12/2007	DFAILLE     
805	marking cdw pouch ZX Exclude from BOM   	6/12/2007	    	                                        	2	6/12/2007	LFULLBRI    
806	correct migration data entry errors     	6/12/2007	    	                                        	1	6/12/2007	WDURLING    
807	Changing frequency of in house testing. 	6/12/2007	    	                                        	1	6/12/2007	TWILLIA2    
808	Update supplier information             	6/12/2007	    	                                        	2	6/12/2007	CSTETTLE    
809	To create a new case for Amherst U0GA   	6/12/2007	    	                                        	2	6/12/2007	RTERRY      
810	To create a new case for Amherst U0GA   	6/12/2007	    	                                        	2	6/12/2007	RTERRY      
811	To create a new case for Amherst U0GA   	6/12/2007	    	                                        	2	6/12/2007	RTERRY      
812	UPDATE RECP 5742                        	6/12/2007	    	                                        	2	6/12/2007	AKACZAR     
813	upd rcp#5743 w/ correct items           	6/13/2007	    	                                        	2	6/13/2007	AKACZAR     
814	Revising case compression value         	6/13/2007	    	                                        	2	6/13/2007	RHOEFING    
815	Update rcp 4585                         	6/13/2007	    	                                        	2	6/13/2007	AKACZAR     
816	Change Summary:                         	6/13/2007	    	                                        	2	6/13/2007	KSWEENE1    
817	"Case/MTW update Rcp 3117, 3119          "	6/13/2007	    	                                        	2	6/13/2007	RCARINO     
818	Correct alt recipe Assm. material - Corr	6/13/2007	    	                                        	2	6/13/2007	LPIERCE     
819	Change Carbon spec range for all SA reci	7/1/2007	    	                                        	2	6/13/2007	JNGUYEN     
820	Added supplier restriction for Armor All	6/13/2007	    	                                        	2	6/13/2007	BCARTWRI    
821	Change tray in Recipe 5598              	6/13/2007	    	                                        	2	6/13/2007	RCARINO     
822	Update Case Dimensions (<20% change)    	6/14/2007	    	                                        	2	6/14/2007	MKWIECIE    
823	UCare 4/90 oz. Label//Emptyware Change  	6/14/2007	    	                                        	1	6/14/2007	MSTEWART    
824	Need to revise Case Net Weight          	6/14/2007	    	                                        	1	6/14/2007	BLANDIS     
825	UCare 2/168 oz. Label//Emptyware Change 	6/14/2007	    	                                        	1	6/14/2007	MSTEWART    
826	Correct usage rates                     	6/14/2007	    	                                        	2	6/14/2007	LFULLBRI    
827	5763. Label change due to excess inv.   	6/14/2007	    	                                        	2	6/14/2007	RCARINO     
828	UCare 4/90 oz. Label//Emptyware Change  	6/14/2007	    	                                        	1	6/14/2007	MSTEWART    
829	UCare 2/168 oz. Label//Emptyware Change 	6/14/2007	    	                                        	1	6/14/2007	MSTEWART    
830	correct usage rates                     	6/15/2007	    	                                        	2	6/15/2007	LFULLBRI    
831	Change abbr. to recipes                 	6/15/2007	    	                                        	2	6/15/2007	ATOMASEK    
832	Change Carton version number            	6/15/2007	    	                                        	2	6/15/2007	RTERRY      
833	Need to revise Case Net Weight          	6/15/2007	    	                                        	2	6/15/2007	BLANDIS     
834	Adding FSP & Max Stack Ht data          	6/15/2007	    	                                        	2	6/15/2007	BLANDIS     
835	update recipe to incl ATI way of produci	6/15/2007	    	                                        	2	6/15/2007	LFULLBRI    
836	Need to revise CU & CUS Net Weight      	6/15/2007	    	                                        	2	6/15/2007	BLANDIS     
837	Add Honey to shipper consumer unit recip	6/15/2007	    	                                        	2	6/15/2007	RHOEFING    
838	Test for CR#65982                       	6/18/2007	    	                                        	2	6/18/2007	OLOPEZ      
839	Formula quantity change                 	6/18/2007	    	                                        	2	6/18/2007	TCALHOUN    
840	Change Summary:                         	6/18/2007	    	                                        	2	6/18/2007	KSWEENE1    
841	Update Shelf lIfe Information           	6/18/2007	    	                                        	2	6/18/2007	SSEHGAL     
842	Adding Net Weights to SAS custunit specs	6/19/2007	    	                                        	1	6/19/2007	MKWIECIE    
843	mark all components exclude from bom    	6/19/2007	    	                                        	2	6/19/2007	LFULLBRI    
844	Update carbon blk & assm specs          	6/19/2007	    	                                        	1	6/19/2007	ESCHUETZ    
845	Changing grain direction                	6/19/2007	    	                                        	2	6/19/2007	MKREMER1    
846	"Add new case, change count to 100       "	6/19/2007	    	                                        	2	6/19/2007	SCATHCAR    
847	UPDATE RECP 5708                        	6/19/2007	    	                                        	2	6/19/2007	AKACZAR     
848	Recipe# 4581 - Change 3695+5809 to CON1s	6/19/2007	    	                                        	2	6/19/2007	MRODGERS    
849	"Recipe# 3830,5713,3826-Update-New CRTNs "	6/19/2007	    	                                        	1	6/19/2007	MRODGERS    
850	Adding Net Weights to SAS custunit specs	6/20/2007	    	                                        	2	6/20/2007	MKWIECIE    
851	adding new closure                      	6/20/2007	    	                                        	2	6/20/2007	DKOLARIC    
852	Update RSC                              	6/20/2007	    	                                        	2	6/20/2007	DFAILLE     
853	Update labels                           	6/20/2007	    	                                        	2	6/20/2007	DFAILLE     
854	Update labels                           	6/20/2007	    	                                        	2	6/20/2007	DFAILLE     
855	Correct wrong material # used in recipe 	6/20/2007	    	                                        	2	6/20/2007	BCARTWRI    
856	UPDATE RECP 5742                        	6/20/2007	    	                                        	2	6/20/2007	AKACZAR     
857	Migration Error Correction              	6/21/2007	    	                                        	2	6/21/2007	SMENDEL     
858	Migration Error Correction              	6/21/2007	    	                                        	2	6/21/2007	SMENDEL     
859	Push Recipe 5684 to P5 status           	6/21/2007	    	                                        	1	6/21/2007	ATOMASEK    
860	Change Summary:                         	6/21/2007	    	                                        	2	6/21/2007	KSWEENE1    
861	"Update ""Units/BUOM"" to 12               "	6/21/2007	    	                                        	2	6/21/2007	BABERNAT    
